Place_ID X Date,target
0OS9LVX X 2020-01-02,45.54
0OS9LVX X 2020-01-03,40.409
0OS9LVX X 2020-01-04,40.48
0OS9LVX X 2020-01-05,41.2
0OS9LVX X 2020-01-06,41.481
0OS9LVX X 2020-01-07,39.172999999999995
0OS9LVX X 2020-01-08,44.931000000000004
0OS9LVX X 2020-01-09,42.15
0OS9LVX X 2020-01-10,48.48
0OS9LVX X 2020-01-11,47.802
0OS9LVX X 2020-01-12,45.8
0OS9LVX X 2020-01-13,48.59
0OS9LVX X 2020-01-14,42.39
0OS9LVX X 2020-01-15,57.684
0OS9LVX X 2020-01-16,46.651
0OS9LVX X 2020-01-17,49.207
0OS9LVX X 2020-01-18,44.018
0OS9LVX X 2020-01-19,40.954
0OS9LVX X 2020-01-20,37.143
0OS9LVX X 2020-01-21,39.506
0OS9LVX X 2020-01-22,39.412000000000006
0OS9LVX X 2020-01-23,29.357
0OS9LVX X 2020-01-24,33.55499999999999
0OS9LVX X 2020-01-25,37.25
0OS9LVX X 2020-01-26,36.715
0OS9LVX X 2020-01-27,37.15
0OS9LVX X 2020-01-28,40.38
0OS9LVX X 2020-01-29,38.438
0OS9LVX X 2020-01-30,42.74
0OS9LVX X 2020-01-31,45.78
0OS9LVX X 2020-02-01,39.38
0OS9LVX X 2020-02-02,41.26
0OS9LVX X 2020-02-03,43.24
0OS9LVX X 2020-02-04,39.745
0OS9LVX X 2020-02-05,40.217999999999996
0OS9LVX X 2020-02-06,38.732
0OS9LVX X 2020-02-07,43.218999999999994
0OS9LVX X 2020-02-08,46.037
0OS9LVX X 2020-02-09,46.757
0OS9LVX X 2020-02-10,47.24
0OS9LVX X 2020-02-11,48.2
0OS9LVX X 2020-02-12,37.87
0OS9LVX X 2020-02-13,42.63
0OS9LVX X 2020-02-14,43.687
0OS9LVX X 2020-02-15,40.411
0OS9LVX X 2020-02-16,41.32
0OS9LVX X 2020-02-17,41.748999999999995
0OS9LVX X 2020-02-18,41.52
0OS9LVX X 2020-02-19,45.104
0OS9LVX X 2020-02-20,42.907
0OS9LVX X 2020-02-21,47.30999999999999
0OS9LVX X 2020-02-22,43.591
0OS9LVX X 2020-02-23,35.963
